node,page_rank,rank,comm,rank_comm
1038,0.0007100320916069488,504,59,3
804,0.0007062731910543966,505,40,4
606,0.0007050092528219987,506,26,9
156,0.0007044906223154199,507,6,16
100,0.0007033293627721891,508,3,17
180,0.0007019306408361897,509,8,18
141,0.0007013045977885544,510,6,17
577,0.0007009241099169005,511,25,17
866,0.0006999150679248491,512,42,15
389,0.0006998275376059023,513,16,33
571,0.0006974097996026174,514,25,18
655,0.0006949627652491075,515,27,30
943,0.0006911483302329705,516,51,6
585,0.0006895455007315146,517,25,19
195,0.0006887638558184298,518,8,19
1136,0.0006884412263360565,519,69,3
19,0.0006883024766439443,520,1,13
189,0.0006855046700347577,521,8,20
182,0.0006850590438899031,522,8,21
1226,0.0006847298646488641,523,87,3
406,0.0006826396798541452,524,16,34
611,0.0006775035688926466,525,27,31
742,0.0006762510748736471,526,34,16
1099,0.0006740828186448439,527,65,6
1063,0.0006734907178391444,528,62,2
540,0.0006720103129373336,529,24,10
851,0.0006709177852169518,530,42,16
580,0.0006709147844194676,531,25,20
602,0.0006688703105890857,532,26,10
596,0.0006674811309422844,533,26,11
151,0.0006672813366787641,534,6,18
257,0.0006671329228013782,535,12,30
718,0.0006664119295239639,536,33,10
17,0.0006638732890686715,537,1,14
518,0.0006630464910971308,538,23,5
149,0.000659151554867302,539,6,19
847,0.0006579122456240824,540,41,5
293,0.0006556227959491312,541,12,31
762,0.0006553748053060469,542,35,2
442,0.0006535376597542105,543,17,7
793,0.0006529101417292958,544,37,2
297,0.0006527280307252094,545,12,32
1278,0.0006487357118821367,546,92,24
825,0.0006464332973126097,547,41,6
860,0.0006463170176064273,548,42,17
796,0.0006457411098240498,549,39,4
803,0.0006457411098240497,550,39,5
974,0.0006448140633615062,551,52,7
283,0.0006421446792276214,552,12,33
724,0.0006420271885717329,553,33,11
451,0.0006400412925400674,554,18,1
872,0.0006378482836130278,555,42,18
961,0.000637524018356368,556,51,7
626,0.0006374193754560182,557,27,32
335,0.0006372032796103094,558,13,19
320,0.0006345159938472287,559,13,20
981,0.0006336941103539418,560,52,8
1243,0.0006326040316394364,561,92,25
177,0.0006325575190462033,562,8,22
1175,0.0006298880323158858,563,80,1
313,0.0006277724416387445,564,13,21
882,0.0006276251745681262,565,42,19
1260,0.0006273273487666876,566,92,26
1142,0.0006264148895927448,567,70,4
586,0.0006257713177925567,568,25,21
603,0.0006244626880895947,569,26,12
202,0.0006237867330035892,570,8,23
277,0.0006234926844752366,571,12,34
1262,0.0006222647661708069,572,92,27
1207,0.0006219293546248474,573,85,7
1249,0.0006215441492440957,574,92,28
979,0.0006211509870998407,575,52,9
1161,0.0006208421375501136,576,75,2
1162,0.0006208421375501136,577,75,3
112,0.0006201406105335751,578,3,18
1280,0.0006199768436109081,579,92,29
61,0.0006195466367243533,580,2,21
409,0.0006193476229777592,581,16,35
1090,0.0006189655112655623,582,63,8
1208,0.0006183723286054569,583,86,9
751,0.0006132422543090148,584,34,17
432,0.0006130666967420627,585,16,36
1246,0.0006129192301731805,586,92,30
1028,0.0006121842866085068,587,58,11
103,0.0006117283078200757,588,3,19
880,0.0006115434765226009,589,42,20
700,0.0006100540406849143,590,32,4
597,0.0006097436839876984,591,26,13
113,0.00060897559092292,592,3,20
220,0.0006040617522831336,593,12,35
814,0.0006032221901283788,594,41,7
841,0.0006032221901283788,595,41,8
821,0.0006032221901283788,596,41,9
712,0.0006012385533419789,597,32,5
1176,0.0005974277271427143,598,81,2
703,0.000595170712792224,599,32,6
699,0.000595170712792224,600,32,7
1084,0.0005948317625174922,601,63,9
410,0.0005943754648072245,602,16,37
249,0.0005923580602115532,603,12,36
506,0.0005861070977903953,604,21,12
934,0.0005840889824496198,605,49,4
1206,0.0005809097465853849,606,85,8
500,0.0005800035183253007,607,21,13
643,0.0005779430479474207,608,27,33
685,0.0005766007307915171,609,29,3
267,0.0005738214728467509,610,12,37
265,0.0005732635178984065,611,12,38
1202,0.0005669738785591378,612,85,9
781,0.0005654248706673064,613,36,11
786,0.0005654248706673064,614,36,12
1019,0.0005625446939157894,615,58,12
867,0.0005621947125824442,616,42,21
767,0.0005614759192311503,617,36,13
931,0.0005611988577694237,618,48,1
1114,0.0005609688869518382,619,68,9
1275,0.00055999538788101,620,92,31
1211,0.000559108391787673,621,86,10
991,0.0005576509151602757,622,52,10
458,0.0005568472991427328,623,19,11
184,0.0005556657028033175,624,8,24
916,0.0005514692137601649,625,46,7
204,0.0005505450861320036,626,8,25
343,0.0005503756260579474,627,15,7
1111,0.0005499139434781807,628,67,2
617,0.0005493456581019828,629,27,34
175,0.000546636806269356,630,8,26
5,0.0005464890875633803,631,1,15
0,0.0005464890875633803,632,1,16
123,0.0005457013179555689,633,4,1
72,0.0005448877669060665,634,2,22
1198,0.000544860858329147,635,85,10
716,0.0005437177956504886,636,32,8
194,0.000543308627365873,637,8,27
492,0.0005413813065640191,638,21,14
1268,0.0005408365299066502,639,92,32
566,0.0005399511506289775,640,25,22
1,0.0005395141272480004,641,1,17
1183,0.0005388571384229378,642,83,1
1004,0.0005388047404242937,643,56,2
1274,0.0005371450151863768,644,92,33
1153,0.0005370522309369361,645,73,4
802,0.0005368894138627281,646,39,6
366,0.0005352363162686724,647,15,8
507,0.0005350904782867986,648,21,15
911,0.0005349306443045254,649,44,1
503,0.0005347206235217338,650,21,16
510,0.0005343351799766019,651,21,17
729,0.0005325427938801099,652,34,18
36,0.0005324419596032588,653,2,23
1160,0.0005298789162078546,654,75,4
808,0.0005297759894759744,655,40,5
360,0.000529142348648909,656,15,9
174,0.0005282211887784608,657,7,1
785,0.0005279616995810595,658,36,14
436,0.0005274851655432514,659,16,38
680,0.0005274851655432514,660,28,5
1232,0.0005258800334565304,661,89,1
795,0.0005252493450927555,662,38,1
147,0.0005247481608455791,663,6,20
744,0.0005233225620397423,664,34,19
896,0.000523076834442857,665,43,13
344,0.0005227690555716272,666,15,10
1254,0.0005201317388556526,667,92,34
1234,0.0005193497978142157,668,90,4
1171,0.000518775363054976,669,78,1
930,0.000518775363054976,670,47,1
3,0.0005175730662151351,671,1,18
1062,0.0005160663704137079,672,62,3
67,0.0005152144611761553,673,2,24
737,0.0005149288650192034,674,34,20
912,0.0005141278991614969,675,45,1
984,0.0005135242363088684,676,52,11
1003,0.000513285009392722,677,55,1
761,0.0005104938173230663,678,35,3
333,0.0005092865242186535,679,13,22
21,0.0005083848740419117,680,1,19
747,0.0005066180867204109,681,34,21
255,0.0005061255408989667,682,12,39
1221,0.0005052362029019514,683,86,11
542,0.0005049373367637608,684,24,11
171,0.0005044003567343395,685,6,21
161,0.0005044003567343395,686,6,22
1006,0.0005036429636038357,687,57,2
1258,0.0005011528422850999,688,92,35
903,0.0004999839446671792,689,43,14
375,0.0004999199294299651,690,16,39
316,0.0004977176278162536,691,13,23
28,0.0004969027143472811,692,2,25
50,0.0004967218527034206,693,2,26
873,0.0004966131936389063,694,42,22
154,0.0004965752284183354,695,6,23
144,0.0004965752284183354,696,6,24
1042,0.0004953754968741895,697,60,4
590,0.0004948121913715431,698,26,14
307,0.0004941635675301235,699,13,24
909,0.0004938888427569778,700,43,15
439,0.0004910164405587861,701,17,8
526,0.0004904659235050576,702,23,6
434,0.0004904659235050576,703,16,40
117,0.0004896281701020173,704,3,21
305,0.0004896255791528843,705,13,25
1013,0.0004886798290678576,706,58,13
336,0.0004877794580589965,707,14,1
861,0.00048727927424518024,708,42,23
245,0.00048692935462382703,709,12,40
477,0.0004868719622632006,710,20,4
478,0.0004868719622632006,711,20,5
11,0.00048667782649006186,712,1,20
875,0.0004864571945820658,713,42,24
840,0.00048530190802629147,714,41,10
652,0.00048452035945600994,715,27,35
359,0.0004831725332457989,716,15,11
544,0.0004830557511539922,717,24,12
242,0.0004828230648983695,718,12,41
59,0.0004804930741614412,719,2,27
865,0.00047986778251749295,720,42,25
135,0.00047717878787514867,721,6,25
448,0.0004768004408960588,722,17,9
481,0.00047581172033904246,723,21,18
126,0.0004746599632206539,724,6,26
648,0.0004744587842307425,725,27,36
780,0.0004742078662894512,726,36,15
869,0.0004736710360209792,727,42,26
408,0.0004730635624130141,728,16,41
574,0.0004727557349954287,729,25,23
667,0.0004725679215213331,730,27,37
381,0.0004722295780667622,731,16,42
334,0.0004716809817619236,732,13,26
892,0.0004714214370877124,733,43,16
656,0.00047115035490576487,734,27,38
301,0.0004706279325677984,735,13,27
52,0.00047062018832349096,736,2,28
555,0.0004691708457423137,737,25,24
312,0.00046888335345489325,738,13,28
326,0.0004687042967279349,739,13,29
630,0.00046478628267291114,740,27,39
73,0.0004646169833263066,741,2,29
660,0.0004642505853899305,742,27,40
954,0.0004636120600148119,743,51,8
38,0.00046301551722893535,744,2,30
294,0.0004610519737945816,745,12,42
379,0.0004602587778523298,746,16,43
234,0.00045939446522823534,747,12,43
188,0.00045874823195221745,748,8,28
733,0.0004587468825861362,749,34,22
110,0.00045788624307758314,750,3,22
97,0.00045788624307758314,751,3,23
210,0.00045509379402802264,752,10,5
87,0.00045481801076073395,753,3,24
1081,0.0004537946442155353,754,63,10
1077,0.0004537946442155353,755,63,11
88,0.00045283252745384836,756,3,25
1011,0.00044844222441231627,757,58,14
676,0.00044835646788940096,758,28,6
81,0.0004483381471827349,759,3,26
76,0.0004483381471827349,760,3,27
1179,0.00044800679168863076,761,82,3
370,0.0004472372221752993,762,16,44
854,0.00044715886062219945,763,42,27
687,0.0004466853195843426,764,29,4
244,0.0004461762003578582,765,12,44
601,0.0004452261530613725,766,26,15
522,0.0004448079238462882,767,23,7
158,0.00044406556107716053,768,6,27
423,0.0004425102133507971,769,16,45
