n_nodes,influence,communities,time,nodes
43.0,83.98,9,5,"[1341, 17, 1190, 3861, 861, 230, 699, 513, 599, 3592, 1134, 184, 2897, 1524, 777, 1444, 360, 114, 4372, 180, 5746, 1114, 4546, 988, 1594, 514, 3728, 164, 2556, 5147, 263, 643, 1793, 524, 734, 1545, 568, 1119, 776, 565, 2487, 1093, 4298]"
68.0,127.65,8,5,"[4064, 4356, 3728, 1471, 2277, 513, 599, 5225, 2960, 1134, 1524, 903, 1100, 634, 1494, 538, 180, 1093, 1419, 988, 748, 22, 777, 636, 1307, 1277, 1311, 292, 550, 3046, 175, 914, 694, 159, 3795, 1342, 2242, 3277, 213, 1793, 223, 1641, 899, 643, 1648, 740, 184, 263, 776, 1545, 524, 2957, 1302, 410, 2274, 545, 546, 1317, 4651, 172, 565, 568, 1086, 1600, 716, 209, 214, 606]"
84.0,150.8,9,5,"[3376, 17, 4, 3718, 513, 777, 988, 5225, 599, 1134, 184, 1524, 903, 829, 1119, 4627, 180, 4372, 482, 3833, 553, 1816, 1317, 3277, 713, 172, 568, 740, 1086, 4651, 546, 52, 2274, 2955, 558, 214, 87, 2487, 565, 1648, 410, 1302, 524, 643, 284, 716, 4286, 1138, 4930, 899, 3087, 1600, 143, 223, 1277, 213, 1423, 550, 914, 22, 1307, 1641, 1311, 292, 175, 694, 1342, 488, 2242, 1475, 622, 1120, 2937, 2370, 848, 709, 2142, 743, 1873, 1759, 3538, 239, 352, 1509]"
8.0,23.01,3,4,"[735, 4627, 3239, 103, 1127, 1093, 184, 988]"
88.0,154.4,11,5,"[1341, 4354, 1190, 17, 861, 230, 4546, 3861, 1914, 699, 2512, 1134, 888, 114, 3833, 360, 599, 2897, 5746, 1444, 5346, 38, 1119, 4372, 4190, 284, 1533, 565, 636, 184, 513, 2817, 3592, 1138, 2487, 488, 1475, 52, 622, 2274, 713, 4651, 1120, 558, 223, 2937, 3303, 3728, 546, 1122, 740, 1126, 1551, 213, 899, 643, 1641, 1784, 914, 734, 777, 1419, 1277, 524, 1600, 180, 1302, 2957, 716, 214, 1311, 175, 22, 1307, 1423, 292, 172, 550, 143, 545, 1342, 2242, 3580, 709, 1873, 3538, 352, 1509]"
23.0,40.18,10,4,"[3833, 4627, 3728, 4, 976, 777, 3949, 1093, 274, 3156, 2281, 538, 283, 1114, 3411, 1419, 5003, 748, 5746, 740, 1528, 1648, 4367]"
29.0,59.22,9,4,"[1341, 533, 1190, 17, 988, 1873, 5240, 1877, 3978, 13, 779, 1419, 781, 875, 184, 4863, 3439, 2035, 4367, 643, 3592, 2955, 513, 740, 2957, 1423, 3728, 3833, 734]"
41.0,85.16,6,5,"[735, 1102, 1119, 533, 861, 230, 699, 777, 513, 2817, 184, 988, 292, 550, 284, 1533, 4372, 2487, 52, 1138, 4190, 713, 3592, 143, 1423, 734, 899, 2626, 643, 524, 2957, 1302, 545, 546, 4651, 172, 2274, 565, 1600, 716, 214]"
6.0,18.84,3,3,"[1341, 17, 475, 103, 184, 988]"
35.0,74.22,9,5,"[1341, 1970, 17, 1190, 861, 230, 777, 3861, 1444, 699, 1134, 599, 114, 1524, 1100, 875, 2274, 513, 360, 184, 779, 5746, 3592, 13, 1551, 4367, 1793, 524, 2957, 988, 180, 4372, 545, 734, 1119]"
27.0,58.74,8,4,"[3376, 4048, 4, 3718, 513, 988, 599, 5225, 777, 1134, 1524, 184, 903, 1100, 634, 3833, 13, 1035, 180, 1877, 4952, 538, 2035, 643, 2955, 524, 87]"
